institution_name,12_Month_Enrollment
Johnson County Community College,7429
Concorde Career College-Kansas City,931
Kansas City Kansas Community College,2979
Kansas Christian College,154
University of Kansas,17796
Newman University,1048
Old Town Barber College-Wichita,129
Kansas State University,16001
Kansas Wesleyan University,677
Washburn Institute of Technology,1357
Labette Community College,679
Manhattan Area Technical College,393
Manhattan Christian College,163
McPherson College,787
MidAmerica Nazarene University,1000
Neosho County Community College,762
North Central Kansas Technical College,437
Northwest Kansas Technical College,465
Ottawa University-Ottawa,664
Ottawa University-Kansas City,175
Pittsburg State University,4978
Pratt Community College,610
University of Saint Mary,742
Salina Area Technical College,268
Seward County Community College,787
Southwestern College,740
Sterling College,580
Tabor College,537
Washburn University,3803
Wichita State University-Campus of Applied Sciences and Technology,2010
Wichita State University,9788
Wichita Technical Institute,1625
Alice Lloyd College,599
Asbury University,1434
Ashland Community and Technical College,1500
Barrett and Company School of Hair Design,74
Bellarmine University,2655
Berea College,1665
PJ's College of Cosmetology-Bowling Green,270
Southcentral Kentucky Community and Technical College,1979
Brescia University,757
Campbellsville University,2686
Bluegrass Community and Technical College,5271
Centre College,1418
Clear Creek Baptist Bible College,69
Paul Mitchell the School-Lexington,186
Galen College of Nursing-Louisville,2707
University of the Cumberlands,3433
Eastern Kentucky University,10010
Elizabethtown Community and Technical College,2581
Georgetown College,955
PJ's College of Cosmetology-Glasgow,57
Hazard Community and Technical College,1244
Paul Mitchell the School-Louisville,194
Henderson Community College,511
Hopkinsville Community College,1071
Jefferson Community and Technical College,3582
Summit Salon Academy-Lexington,201
American National University-Pikeville,115
Kentucky Mountain Bible College,53
Kentucky State University,1319
Kentucky Wesleyan College,822
University of Kentucky,21051
Kentucky Christian University,519
Lindsey Wilson College,1795
University of Louisville,9416
Madisonville Community College,1189
Maysville Community and Technical College,1523
Midway University,963
Morehead State University,5580
Murray State University,6340
Gateway Community and Technical College,1458
Northern Kentucky University,8593
West Kentucky Community and Technical College,2322
University of Pikeville,1206
Big Sandy Community and Technical College,1864
Empire Beauty School-Chenoweth,94
Empire Beauty School-Elizabethtown,135
Empire Beauty School-Dixie,118
Empire Beauty School-Florence,180
Somerset Community College,2500
Southeast Kentucky Community & Technical College,1485
The Southern Baptist Theological Seminary,339
Spalding University,764
Sullivan University,1540
Thomas More University,1413
Transylvania University,960
Union College,939
Western Kentucky University,12409
Central Louisiana Technical Community College,1574
Ayers Career College,353
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,72
Baton Rouge School of Computers,65
Bossier Parish Community College,4297
Centenary College of Louisiana,557
Cloyd's Beauty School 1 Inc,63
Crescent City Bartending School,423
Delgado Community College,6224
Avery James College,123
Denham Springs Beauty School,79
Dillard University,1209
Nunez Community College,1390
Grambling State University,3344
Belbo Beauty Institute,88
ITI Technical College,1004
John Jay Beauty College,125
Louisiana State University Health Sciences Center-New Orleans,987
Louisiana State University-Alexandria,2088
Louisiana State University and Agricultural & Mechanical College,23497
Louisiana State University-Eunice,1806
Louisiana State University-Shreveport,1899
Aveda Arts & Sciences Institute-Baton Rouge,231
Aveda Arts & Sciences Institute-Lafayette,267
Louisiana Academy of Beauty,40
Louisiana Christian University,968
Opelousas School of Cosmetology,41
Louisiana Tech University,8514
Loyola University New Orleans,2986
McNeese State University,5725
University of New Orleans,5450
New Orleans Baptist Theological Seminary,66
Nicholls State University,5424
University of Louisiana at Monroe,4961
Northwest Louisiana Technical Community College,819
Northwestern State University of Louisiana,6974
University of Holy Cross,389
Franciscan Missionaries of Our Lady University,575
Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport,328
Celebrity Stylist Beauty School,27
Pineville Beauty School,80
Aveda Arts & Sciences Institute-Covington,4188
Saint Joseph Seminary College,123
LaSalle Tech,278
Fletcher Technical Community College,1342
Remington College-Lafayette Campus,541
SOWELA Technical Community College,2416
Stevensons Academy of Hair Design,78
Southeastern Louisiana University,10069
Southern University and A & M College,5305
Southern University at New Orleans,1372
Southern University at Shreveport,2491
University of Louisiana at Lafayette,12593
Northshore Technical Community College,2244
Tulane University of Louisiana,8332
Xavier University of Louisiana,2470
College of the Atlantic,367
Bates College,1958
Beal University,396
Bowdoin College,1970
Maine College of Health Professions,105
Central Maine Community College,1644
Colby College,2196
Eastern Maine Community College,1316
Kennebec Valley Community College,767
The Landing School,57
University of Maine at Augusta,1617
University of Maine at Farmington,1581
University of Maine at Fort Kent,626
University of Maine,8375
Maine Maritime Academy,982
University of Maine at Presque Isle,741
University of New England,2488
Northern Maine Community College,452
Empire Beauty School-Maine,172
Maine College of Art & Design,432
Saint Joseph's College of Maine,1078
Spa Tech Institute-Westbrook,180
Southern Maine Community College,3685
University of Southern Maine,4689
Thomas College,789
Unity Environmental University,831
Washington County Community College,245
Allegany College of Maryland,1291
Anne Arundel Community College,4066
Award Beauty School,90
Baltimore Studio of Hair Design,16
Baltimore City Community College,1977
University of Baltimore,1319
Bowie State University,4628
Capitol Technology University,365
Cecil College,832
College of Southern Maryland,2523
Chesapeake College,627
Washington Adventist University,791
Coppin State University,1870
Del-Mar-Va Beauty Academy,65
North American Trade Schools,960
Frederick Community College,2107
Frostburg State University,3770
Garrett College,463
Goucher College,1350
Hagerstown Community College,1610
Harford Community College,2139
Hood College,1079
Howard Community College,3629
Aveda Institute-Maryland,161
Johns Hopkins University,5945
Lincoln College of Technology-Columbia,848
Loyola University Maryland,3972
University of Maryland Global Campus,11779
"University of Maryland, Baltimore",820
University of Maryland-Baltimore County,9932
University of Maryland-College Park,30055
Maryland Institute College of Art,1717
University of Maryland Eastern Shore,2197
Fortis Institute-Towson,816
Montgomery Beauty School,104
Montgomery College,6401
Morgan State University,6010
Mount St. Mary's University,1844
Ner Israel Rabbinical College,357
Hair Academy,265
Notre Dame of Maryland University,517
Prince George's Community College,3935
Maryland Beauty Academy of Essex,47
Salisbury University,7487
St. Mary's College of Maryland,1469
St. John's College,497
Towson University,18239
United States Naval Academy,4538
Stevenson University,2825
Washington College,1290
McDaniel College,1723
Wor-Wic Community College,865
Hult International Business School,813
American International College,1269
Amherst College,1940
Anna Maria College,944
Assabet Valley Regional Technical School,48
Assumption University,1962
Babson College,2811
Boston Baptist College,37
Bay Path University,1816
Bay State College,343
Bentley University,4315
Berklee College of Music,5498
Berkshire Community College,648
